Department,Date,Active Cases
PIURA,2020-04-29,153
PUNO,2020-04-29,20
SAN MARTIN,2020-04-29,21
TACNA,2020-04-29,23
TUMBES,2020-04-29,52
UCAYALI,2020-04-29,87
AMAZONAS,2020-04-30,37
ANCASH,2020-04-30,108
APURIMAC,2020-04-30,35
AREQUIPA,2020-04-30,69
AYACUCHO,2020-04-30,21
CAJAMARCA,2020-04-30,48
CALLAO,2020-04-30,256
CUSCO,2020-04-30,34
HUANCAVELICA,2020-04-30,17
HUANUCO,2020-04-30,19
ICA,2020-04-30,53
JUNIN,2020-04-30,66
LA LIBERTAD,2020-04-30,136
LAMBAYEQUE,2020-04-30,217
LIMA,2020-04-30,1798
LORETO,2020-04-30,94
MADRE DE DIOS,2020-04-30,3
MOQUEGUA,2020-04-30,10
PASCO,2020-04-30,3
PIURA,2020-04-30,180
PUNO,2020-04-30,29
SAN MARTIN,2020-04-30,15
TACNA,2020-04-30,16
TUMBES,2020-04-30,30
UCAYALI,2020-04-30,79
AMAZONAS,2020-05-01,85
ANCASH,2020-05-01,66
AREQUIPA,2020-05-01,38
AYACUCHO,2020-05-01,26
CAJAMARCA,2020-05-01,19
CALLAO,2020-05-01,115
CUSCO,2020-05-01,6
HUANCAVELICA,2020-05-01,68
HUANUCO,2020-05-01,8
ICA,2020-05-01,38
JUNIN,2020-05-01,26
LA LIBERTAD,2020-05-01,54
LAMBAYEQUE,2020-05-01,234
LIMA,2020-05-01,1406
LORETO,2020-05-01,147
MADRE DE DIOS,2020-05-01,3
MOQUEGUA,2020-05-01,12
PASCO,2020-05-01,7
PIURA,2020-05-01,142
PUNO,2020-05-01,10
SAN MARTIN,2020-05-01,18
TACNA,2020-05-01,6
TUMBES,2020-05-01,19
UCAYALI,2020-05-01,76
AMAZONAS,2020-05-02,50
ANCASH,2020-05-02,119
APURIMAC,2020-05-02,5
AREQUIPA,2020-05-02,31
AYACUCHO,2020-05-02,20
CAJAMARCA,2020-05-02,29
CALLAO,2020-05-02,214
CUSCO,2020-05-02,13
HUANCAVELICA,2020-05-02,61
HUANUCO,2020-05-02,3
ICA,2020-05-02,53
JUNIN,2020-05-02,55
LA LIBERTAD,2020-05-02,116
LAMBAYEQUE,2020-05-02,146
LIMA,2020-05-02,1934
LORETO,2020-05-02,106
MADRE DE DIOS,2020-05-02,3
MOQUEGUA,2020-05-02,6
PASCO,2020-05-02,11
PIURA,2020-05-02,202
PUNO,2020-05-02,14
SAN MARTIN,2020-05-02,30
TACNA,2020-05-02,6
TUMBES,2020-05-02,44
UCAYALI,2020-05-02,106
AMAZONAS,2020-05-03,2
ANCASH,2020-05-03,25
AREQUIPA,2020-05-03,7
AYACUCHO,2020-05-03,5
CAJAMARCA,2020-05-03,13
CALLAO,2020-05-03,95
CUSCO,2020-05-03,2
HUANCAVELICA,2020-05-03,25
